Freq.	V(n010)/I(V1)
Step Information: 1=1  (Run: 1/11)
1.84926861897805e+003	(9.91208271493321e+001dB,1.79886694769561e+002°)
1.85353162341478e+003	(9.91208327322008e+001dB,1.79886431770497e+002°)
1.85780445509167e+003	(9.91208383409662e+001dB,1.79886168152601e+002°)
1.86208713666284e+003	(9.91208439757489e+001dB,1.79885903914360e+002°)
1.86637969083464e+003	(9.91208496366702e+001dB,1.79885639054253e+002°)
1.87068214036577e+003	(9.91208553238520e+001dB,1.79885373570760e+002°)
1.87499450806739e+003	(9.91208610374167e+001dB,1.79885107462353e+002°)
1.87931681680324e+003	(9.91208667774874e+001dB,1.79884840727501e+002°)
1.88364908948977e+003	(9.91208725441875e+001dB,1.79884573364671e+002°)
1.88799134909627e+003	(9.91208783376413e+001dB,1.79884305372322e+002°)
1.89234361864495e+003	(9.91208841579735e+001dB,1.79884036748911e+002°)
1.89670592121112e+003	(9.91208900053095e+001dB,1.79883767492892e+002°)
1.90107827992327e+003	(9.91208958797752e+001dB,1.79883497602712e+002°)
1.90546071796322e+003	(9.91209017814970e+001dB,1.79883227076815e+002°)
1.90985325856621e+003	(9.91209077106022e+001dB,1.79882955913641e+002°)
1.91425592502106e+003	(9.91209136672185e+001dB,1.79882684111626e+002°)
1.91866874067026e+003	(9.91209196514740e+001dB,1.79882411669201e+002°)
1.92309172891013e+003	(9.91209256634979e+001dB,1.79882138584794e+002°)
1.92752491319091e+003	(9.91209317034196e+001dB,1.79881864856826e+002°)
1.93196831701689e+003	(9.91209377713692e+001dB,1.79881590483716e+002°)
1.93642196394658e+003	(9.91209438674776e+001dB,1.79881315463878e+002°)
1.94088587759275e+003	(9.91209499918760e+001dB,1.79881039795722e+002°)
1.94536008162263e+003	(9.91209561446964e+001dB,1.79880763477654e+002°)
1.94984459975802e+003	(9.91209623260716e+001dB,1.79880486508073e+002°)
1.95433945577536e+003	(9.91209685361347e+001dB,1.79880208885378e+002°)
1.95884467350596e+003	(9.91209747750195e+001dB,1.79879930607959e+002°)
1.96336027683602e+003	(9.91209810428607e+001dB,1.79879651674204e+002°)
1.96788628970681e+003	(9.91209873397932e+001dB,1.79879372082498e+002°)
1.97242273611482e+003	(9.91209936659530e+001dB,1.79879091831218e+002°)
1.97696964011183e+003	(9.91210000214763e+001dB,1.79878810918740e+002°)
1.98152702580507e+003	(9.91210064065003e+001dB,1.79878529343432e+002°)
1.98609491735734e+003	(9.91210128211626e+001dB,1.79878247103661e+002°)
1.99067333898715e+003	(9.91210192656016e+001dB,1.79877964197786e+002°)
1.99526231496885e+003	(9.91210257399564e+001dB,1.79877680624166e+002°)
1.99986186963271e+003	(9.91210322443664e+001dB,1.79877396381150e+002°)
2.00447202736513e+003	(9.91210387789722e+001dB,1.79877111467087e+002°)
2.00909281260870e+003	(9.91210453439147e+001dB,1.79876825880319e+002°)
2.01372424986236e+003	(9.91210519393354e+001dB,1.79876539619184e+002°)
2.01836636368153e+003	(9.91210585653768e+001dB,1.79876252682015e+002°)
2.02301917867824e+003	(9.91210652221817e+001dB,1.79875965067142e+002°)
2.02768271952125e+003	(9.91210719098940e+001dB,1.79875676772888e+002°)
2.03235701093619e+003	(9.91210786286579e+001dB,1.79875387797573e+002°)
2.03704207770568e+003	(9.91210853786184e+001dB,1.79875098139511e+002°)
2.04173794466950e+003	(9.91210921599212e+001dB,1.79874807797014e+002°)
2.04644463672464e+003	(9.91210989727129e+001dB,1.79874516768385e+002°)
2.05116217882553e+003	(9.91211058171403e+001dB,1.79874225051926e+002°)
2.05589059598411e+003	(9.91211126933514e+001dB,1.79873932645933e+002°)
2.06062991326997e+003	(9.91211196014946e+001dB,1.79873639548697e+002°)
2.06538015581049e+003	(9.91211265417190e+001dB,1.79873345758504e+002°)
2.07014134879101e+003	(9.91211335141747e+001dB,1.79873051273636e+002°)
2.07491351745487e+003	(9.91211405190121e+001dB,1.79872756092370e+002°)
2.07969668710366e+003	(9.91211475563826e+001dB,1.79872460212977e+002°)
2.08449088309725e+003	(9.91211546264383e+001dB,1.79872163633724e+002°)
2.08929613085400e+003	(9.91211617293318e+001dB,1.79871866352875e+002°)
2.09411245585086e+003	(9.91211688652166e+001dB,1.79871568368685e+002°)
2.09893988362349e+003	(9.91211760342470e+001dB,1.79871269679408e+002°)
2.10377843976644e+003	(9.91211832365778e+001dB,1.79870970283292e+002°)
2.10862814993325e+003	(9.91211904723647e+001dB,1.79870670178578e+002°)
2.11348903983661e+003	(9.91211977417642e+001dB,1.79870369363504e+002°)
2.11836113524846e+003	(9.91212050449332e+001dB,1.79870067836303e+002°)
2.12324446200018e+003	(9.91212123820298e+001dB,1.79869765595204e+002°)
2.12813904598267e+003	(9.91212197532125e+001dB,1.79869462638427e+002°)
2.13304491314654e+003	(9.91212271586408e+001dB,1.79869158964191e+002°)
2.13796208950219e+003	(9.91212345984746e+001dB,1.79868854570710e+002°)
2.14289060112002e+003	(9.91212420728750e+001dB,1.79868549456189e+002°)
2.14783047413050e+003	(9.91212495820036e+001dB,1.79868243618832e+002°)
2.15278173472433e+003	(9.91212571260228e+001dB,1.79867937056836e+002°)
2.15774440915263e+003	(9.91212647050958e+001dB,1.79867629768393e+002°)
2.16271852372698e+003	(9.91212723193865e+001dB,1.79867321751691e+002°)
2.16770410481966e+003	(9.91212799690598e+001dB,1.79867013004911e+002°)
2.17270117886370e+003	(9.91212876542810e+001dB,1.79866703526230e+002°)
2.17770977235312e+003	(9.91212953752165e+001dB,1.79866393313820e+002°)
2.18272991184296e+003	(9.91213031320334e+001dB,1.79866082365847e+002°)
2.18776162394951e+003	(9.91213109248996e+001dB,1.79865770680472e+002°)
2.19280493535041e+003	(9.91213187539838e+001dB,1.79865458255852e+002°)
2.19785987278478e+003	(9.91213266194553e+001dB,1.79865145090137e+002°)
2.20292646305342e+003	(9.91213345214846e+001dB,1.79864831181471e+002°)
2.20800473301886e+003	(9.91213424602427e+001dB,1.79864516527996e+002°)
2.21309470960560e+003	(9.91213504359015e+001dB,1.79864201127846e+002°)
2.21819641980018e+003	(9.91213584486337e+001dB,1.79863884979151e+002°)
2.22330989065136e+003	(9.91213664986129e+001dB,1.79863568080034e+002°)
2.22843514927026e+003	(9.91213745860134e+001dB,1.79863250428614e+002°)
2.23357222283049e+003	(9.91213827110103e+001dB,1.79862932023004e+002°)
2.23872113856830e+003	(9.91213908737798e+001dB,1.79862612861313e+002°)
2.24388192378272e+003	(9.91213990744987e+001dB,1.79862292941642e+002°)
2.24905460583574e+003	(9.91214073133446e+001dB,1.79861972262088e+002°)
2.25423921215239e+003	(9.91214155904962e+001dB,1.79861650820743e+002°)
2.25943577022093e+003	(9.91214239061327e+001dB,1.79861328615693e+002°)
2.26464430759302e+003	(9.91214322604345e+001dB,1.79861005645017e+002°)
2.26986485188378e+003	(9.91214406535826e+001dB,1.79860681906792e+002°)
2.27509743077203e+003	(9.91214490857589e+001dB,1.79860357399086e+002°)
2.28034207200037e+003	(9.91214575571463e+001dB,1.79860032119962e+002°)
2.28559880337539e+003	(9.91214660679286e+001dB,1.79859706067479e+002°)
2.29086765276773e+003	(9.91214746182901e+001dB,1.79859379239690e+002°)
2.29614864811232e+003	(9.91214832084165e+001dB,1.79859051634640e+002°)
